iteration,t,r,b,numberOfHashes,FoC*,f1*,precision*,recall*,Foc,f1,treshHold,precision,recall,bootstrap
18,0.4781762498950185,5,40,200,0.07907376594564615,0.005,0.003,0.72,0.00011647254575707155,0.169,0.8,0.286,0.12,1
19,0.3760603093086394,4,50,200,0.23128674431503052,0.002,0.001,0.84,0.00011647254575707155,0.169,0.8,0.286,0.12,1
20,0.2462115368990136,3,67,200,0.5599722684414864,0.001,0.0,0.98,0.00011647254575707155,0.169,0.8,0.286,0.12,1
21,0.1,2,100,200,0.8577870216306156,0.001,0.0,1.02,0.00011647254575707155,0.169,0.8,0.286,0.12,1
22,0.005,1,200,200,0.9933555185801443,0.001,0.0,1.02,0.00011647254575707155,0.169,0.8,0.286,0.12,1
0,1.0,200,1,200,0.00031613976705490847,0.071,0.071,0.071,4.991680532445923e-05,0.123,0.0,0.444,0.071,2
1,0.9930924954370359,100,2,200,0.00031613976705490847,0.071,0.071,0.071,4.991680532445923e-05,0.123,0.0,0.444,0.071,2
2,0.9837365039399479,67,3,200,0.00031613976705490847,0.071,0.071,0.071,4.991680532445923e-05,0.123,0.0,0.444,0.071,2
3,0.9726549474122855,50,4,200,0.00031613976705490847,0.071,0.071,0.071,4.991680532445923e-05,0.123,0.0,0.444,0.071,2
4,0.9605627697295936,40,5,200,0.00031613976705490847,0.071,0.071,0.071,4.991680532445923e-05,0.123,0.0,0.444,0.071,2
5,0.9427379033034217,33,7,200,0.0004048807542983916,0.062,0.056,0.071,4.991680532445923e-05,0.123,0.0,0.444,0.071,2
6,0.9351013592373913,29,7,200,0.0003771491957848031,0.065,0.06,0.071,4.991680532445923e-05,0.123,0.0,0.444,0.071,2
7,0.9201876506248751,25,8,200,0.0004991680532445924,0.069,0.056,0.089,8.319467554076539e-05,0.141,0.0,0.333,0.089,2
8,0.9006280202112785,22,10,200,0.000704381586245147,0.055,0.04,0.089,9.428729894620078e-05,0.137,0.8,0.294,0.089,2
